frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
33,191.04,270.81,0.89,193.0,265.29,0.61,188.53,264.16,0.89,0.0,0.0,0.28,175.48,257.58,0.88,151.64,275.91,0.94,136.77,263.91,0.99,150.05,313.41,0.76,67.03,282.37,0.97,175.21,350.84,0.74,20.05,301.08,0.94,55.91,315.85,0.96,49.51,310.34,0.98,77.38,369.29,0.93,80.26,372.28,0.97,33.33,410.86,0.84,24.57,421.97,0.9
34,191.75,269.69,0.87,192.91,264.24,0.56,189.63,263.25,0.87,0.0,0.0,0.26,176.87,256.41,0.88,151.16,273.28,0.93,136.89,262.76,0.99,154.19,309.77,0.75,67.9,282.06,0.96,181.9,349.96,0.72,22.29,301.57,0.93,54.41,315.35,0.96,48.94,310.48,0.98,78.51,366.96,0.93,83.33,370.69,0.97,32.47,407.87,0.85,26.84,419.38,0.91
35,193.98,263.28,0.86,0.0,0.0,0.47,189.52,256.55,0.9,0.0,0.0,0.23,171.37,255.35,0.9,148.54,272.59,0.92,144.41,271.43,0.99,142.08,315.73,0.65,98.29,305.59,0.97,171.93,344.52,0.59,74.56,319.13,0.92,53.82,306.49,0.96,53.11,303.69,0.98,87.44,362.74,0.94,94.87,366.87,0.98,35.5,404.22,0.9,37.91,417.56,0.94
36,196.77,263.39,0.89,199.67,258.23,0.64,193.72,256.15,0.9,0.0,0.0,0.3,179.86,250.27,0.89,156.55,272.17,0.93,141.09,260.75,0.99,161.23,307.02,0.71,75.91,283.92,0.95,191.77,340.82,0.66,28.1,303.26,0.91,55.78,314.3,0.96,51.1,308.78,0.98,79.77,368.65,0.93,94.18,370.6,0.97,24.65,411.63,0.85,40.19,422.71,0.91
37,196.51,264.12,0.91,200.25,259.84,0.67,194.12,256.07,0.91,0.0,0.0,0.31,180.06,248.08,0.89,160.45,276.66,0.95,137.68,255.54,0.99,168.57,314.18,0.78,65.36,272.08,0.97,203.73,343.85,0.75,21.84,296.27,0.94,59.73,318.78,0.97,51.11,309.58,0.98,81.63,370.92,0.94,97.43,369.05,0.97,22.5,415.31,0.85,43.09,424.49,0.91
38,198.63,261.47,0.89,201.67,256.07,0.64,195.77,254.12,0.9,0.0,0.0,0.31,182.16,247.91,0.9,152.68,264.84,0.93,145.66,261.39,0.99,138.77,292.71,0.68,85.19,288.37,0.95,144.89,320.57,0.64,35.17,300.99,0.91,56.76,312.61,0.96,57.02,309.6,0.98,77.59,368.79,0.94,99.25,370.74,0.97,20.68,417.7,0.89,50.45,427.46,0.93
39,202.74,259.42,0.93,208.43,255.26,0.76,199.68,250.24,0.91,0.0,0.0,0.41,184.82,242.99,0.88,166.94,275.11,0.97,142.74,252.95,0.99,174.14,310.14,0.85,72.38,271.31,0.97,207.8,335.9,0.82,22.96,294.9,0.94,63.46,312.71,0.98,55.62,302.55,0.99,76.79,374.6,0.96,102.4,368.55,0.98,19.29,424.76,0.9,60.04,429.05,0.94
40,203.96,258.47,0.86,0.0,0.0,0.44,200.81,252.02,0.88,0.0,0.0,0.26,184.2,248.57,0.92,149.38,260.12,0.96,160.16,267.99,0.99,119.81,290.37,0.79,160.68,317.43,0.98,114.18,313.34,0.73,180.07,330.0,0.95,57.24,300.36,0.99,65.32,299.39,0.99,81.17,363.94,0.98,110.81,365.11,0.99,16.84,415.04,0.96,63.91,424.1,0.98
41,206.49,252.48,0.93,210.45,248.02,0.71,202.07,244.9,0.92,0.0,0.0,0.38,186.25,241.07,0.92,164.49,268.26,0.97,148.57,254.29,0.99,166.28,296.82,0.81,86.58,273.38,0.97,197.01,325.41,0.77,39.56,293.05,0.94,63.95,313.11,0.98,60.95,305.71,0.99,78.25,372.5,0.97,109.83,366.9,0.99,17.07,425.41,0.94,65.48,425.72,0.96
42,207.88,251.57,0.93,212.06,247.79,0.69,203.77,243.51,0.92,0.0,0.0,0.37,187.95,238.75,0.92,166.67,270.57,0.97,148.66,250.05,0.99,173.09,301.01,0.84,85.15,265.84,0.98,210.04,328.01,0.8,37.42,288.65,0.95,65.07,314.18,0.99,61.71,304.12,0.99,80.07,373.53,0.98,115.7,363.61,0.99,15.55,427.95,0.94,72.77,424.25,0.97
43,209.12,252.56,0.89,0.0,0.0,0.48,204.97,245.52,0.89,0.0,0.0,0.24,184.55,241.28,0.9,170.44,267.54,0.98,149.5,251.61,1.0,179.94,303.87,0.88,85.72,270.06,0.99,211.49,329.69,0.82,37.17,288.0,0.97,73.39,306.49,1.0,70.8,296.96,1.0,84.61,372.42,0.99,132.06,363.35,1.0,11.56,428.32,0.97,94.35,425.31,0.98
44,211.79,248.82,0.9,0.0,0.0,0.5,206.57,242.36,0.9,0.0,0.0,0.23,184.53,240.12,0.91,174.43,267.62,0.98,149.36,250.52,1.0,184.61,304.25,0.89,85.69,266.74,0.99,214.55,329.95,0.83,39.02,287.35,0.97,74.93,306.95,1.0,70.36,296.93,1.0,82.9,372.91,0.99,135.19,363.06,1.0,9.18,430.39,0.97,99.52,425.17,0.98
45,213.99,247.24,0.92,216.4,242.35,0.56,208.28,240.95,0.92,0.0,0.0,0.25,185.6,239.1,0.92,179.69,268.29,0.98,150.91,249.55,1.0,189.98,304.3,0.9,88.29,263.84,0.99,216.95,330.06,0.84,44.8,287.47,0.98,80.09,306.9,1.0,73.32,296.32,1.0,84.12,372.56,0.99,137.1,362.66,1.0,10.27,430.15,0.97,104.02,425.04,0.98
46,214.09,245.85,0.93,217.49,241.62,0.61,209.16,239.1,0.93,0.0,0.0,0.27,187.14,236.04,0.92,182.39,268.87,0.98,151.1,247.28,1.0,193.96,305.07,0.91,89.79,261.76,0.99,217.85,329.48,0.85,50.57,288.78,0.97,84.16,307.72,1.0,75.84,296.28,1.0,86.25,370.05,0.99,137.31,360.56,1.0,11.97,427.38,0.97,107.09,424.93,0.98
47,217.73,247.79,0.93,220.75,243.54,0.57,213.94,240.61,0.92,0.0,0.0,0.23,194.84,234.72,0.91,186.61,267.8,0.98,156.27,246.81,1.0,199.79,306.24,0.88,97.97,264.89,0.99,222.63,325.95,0.84,54.95,290.63,0.98,88.96,309.9,0.99,82.29,298.37,1.0,86.14,371.65,0.99,139.05,360.35,1.0,15.4,425.22,0.96,113.38,423.31,0.98
48,219.54,247.19,0.92,222.02,242.81,0.54,216.08,240.38,0.91,0.0,0.0,0.23,197.95,234.36,0.91,187.31,265.38,0.98,161.11,246.39,1.0,203.53,303.18,0.88,104.17,265.03,0.99,225.35,323.49,0.83,56.56,290.38,0.98,91.2,306.74,0.99,87.59,296.04,1.0,83.45,372.22,0.99,140.19,363.65,1.0,15.83,423.32,0.96,116.57,425.01,0.98
49,218.75,245.29,0.94,223.69,242.83,0.67,216.64,238.61,0.93,0.0,0.0,0.33,199.89,232.6,0.92,191.45,268.74,0.99,160.1,245.17,1.0,208.75,300.28,0.92,98.42,260.58,0.99,226.55,321.77,0.86,61.47,287.85,0.98,97.9,304.17,1.0,91.03,292.57,1.0,85.04,369.04,0.99,142.39,359.79,1.0,17.77,423.98,0.98,131.74,423.24,0.99
50,218.67,244.3,0.95,224.46,242.33,0.72,216.92,237.46,0.94,0.0,0.0,0.38,200.28,230.72,0.92,192.1,267.97,0.99,160.43,243.64,1.0,210.27,297.92,0.92,99.66,258.3,0.99,228.01,320.82,0.87,64.82,286.69,0.98,100.2,302.34,1.0,93.7,290.57,1.0,84.27,367.69,0.99,145.11,358.29,1.0,17.53,423.37,0.98,139.96,422.74,0.99
51,221.9,242.3,0.95,227.51,239.92,0.71,219.97,235.77,0.94,0.0,0.0,0.37,203.7,229.03,0.93,195.23,265.63,0.99,164.99,241.71,1.0,213.74,296.14,0.92,103.93,254.98,0.99,232.81,320.79,0.86,69.47,285.72,0.98,105.87,302.63,1.0,100.64,291.41,1.0,83.96,366.61,0.99,148.44,359.59,1.0,20.98,420.62,0.98,147.28,423.43,0.99
52,222.87,240.73,0.94,228.85,238.58,0.71,221.21,234.21,0.93,0.0,0.0,0.38,205.62,227.42,0.92,197.44,263.67,0.99,166.61,240.8,1.0,214.64,293.34,0.92,106.25,255.17,0.99,230.58,319.94,0.87,71.96,285.97,0.98,108.14,302.09,1.0,102.58,291.29,1.0,86.25,364.7,0.99,151.16,358.38,1.0,21.53,419.8,0.98,151.42,423.92,0.99
53,225.57,238.6,0.95,231.41,236.87,0.74,222.82,232.81,0.94,0.0,0.0,0.4,204.53,227.74,0.92,201.69,263.25,0.99,166.88,241.34,1.0,218.48,293.72,0.93,106.27,256.55,0.99,231.36,322.94,0.87,71.77,291.95,0.97,116.49,302.98,1.0,108.49,292.71,1.0,88.61,363.61,0.99,152.82,360.84,1.0,22.4,416.2,0.98,151.48,424.37,0.99
54,231.06,238.01,0.95,236.69,235.93,0.72,228.52,231.89,0.94,0.0,0.0,0.37,208.74,224.74,0.93,201.99,258.43,0.99,170.74,238.89,1.0,219.44,287.77,0.91,111.13,256.43,0.99,236.41,319.11,0.85,76.95,294.86,0.97,120.29,301.8,1.0,115.0,293.12,1.0,89.08,362.41,0.99,158.45,363.24,1.0,22.54,413.29,0.98,159.25,426.41,0.99
55,233.55,235.56,0.95,239.4,233.46,0.72,230.49,229.35,0.94,0.0,0.0,0.36,210.26,222.79,0.94,205.83,258.11,0.99,172.8,237.76,1.0,221.84,288.92,0.91,113.05,255.66,0.99,237.68,319.2,0.85,77.65,294.03,0.98,124.92,303.74,1.0,118.35,294.7,1.0,93.07,362.45,0.99,161.79,362.94,1.0,23.71,413.55,0.98,161.2,427.02,0.99
56,235.62,233.98,0.95,241.64,232.12,0.71,232.77,227.85,0.94,0.0,0.0,0.36,213.52,222.14,0.93,208.9,259.21,0.99,176.42,238.2,1.0,224.24,291.42,0.9,116.55,257.42,0.99,239.82,318.17,0.85,80.86,294.89,0.97,128.99,306.24,1.0,122.75,296.81,1.0,94.38,362.65,0.99,163.56,362.75,1.0,24.88,414.26,0.97,163.6,427.91,0.99
57,240.41,233.78,0.93,243.84,229.62,0.58,235.86,227.24,0.92,0.0,0.0,0.25,214.43,223.09,0.9,209.6,254.92,0.98,181.1,239.43,1.0,224.42,292.52,0.89,127.84,261.52,0.99,239.34,316.41,0.84,88.12,293.12,0.98,125.85,302.54,0.99,122.45,293.69,1.0,95.67,362.96,0.98,169.47,359.15,0.99,25.65,417.61,0.95,158.33,424.56,0.97
58,244.54,229.08,0.93,247.41,224.97,0.57,239.58,223.06,0.92,0.0,0.0,0.24,216.87,220.81,0.91,213.55,252.14,0.98,184.1,240.2,1.0,228.37,287.94,0.89,133.63,265.84,0.99,241.07,312.63,0.85,101.93,298.23,0.98,134.68,300.37,0.99,130.95,293.3,1.0,100.47,360.91,0.99,176.21,360.44,0.99,27.69,415.6,0.96,164.93,425.61,0.98
59,246.72,228.03,0.93,249.65,224.1,0.56,242.17,222.12,0.91,0.0,0.0,0.24,220.28,219.95,0.9,215.76,251.41,0.98,187.04,239.5,1.0,230.44,286.47,0.9,136.74,265.64,0.99,242.29,310.2,0.85,105.93,299.89,0.98,136.9,300.07,0.99,133.65,293.07,1.0,101.98,360.19,0.99,178.11,360.25,1.0,30.62,415.01,0.96,168.29,426.21,0.98
60,248.9,229.03,0.92,251.82,225.03,0.53,244.46,223.03,0.91,0.0,0.0,0.22,222.56,219.35,0.89,218.43,248.95,0.98,189.47,238.07,1.0,231.96,283.8,0.9,140.01,266.56,0.99,242.75,307.3,0.85,111.28,301.66,0.98,141.38,297.2,0.99,138.08,290.7,1.0,103.84,358.66,0.99,180.22,360.24,1.0,30.04,413.38,0.96,169.63,427.27,0.98
61,250.96,227.29,0.93,254.13,222.98,0.58,245.8,221.5,0.91,0.0,0.0,0.25,224.08,218.9,0.89,222.41,248.53,0.98,192.9,238.83,1.0,235.32,283.76,0.9,144.49,268.61,0.99,245.55,307.32,0.86,114.28,304.55,0.98,143.15,296.63,1.0,139.55,290.44,1.0,105.4,359.3,0.99,182.58,361.43,1.0,31.72,414.63,0.97,171.29,428.87,0.98
62,254.06,224.21,0.91,257.21,220.21,0.54,248.81,218.78,0.89,0.0,0.0,0.23,227.19,217.76,0.87,229.3,248.65,0.98,195.97,239.61,1.0,240.44,285.36,0.9,147.64,271.58,0.99,245.97,308.24,0.86,117.55,307.82,0.98,154.81,297.71,1.0,148.35,292.06,1.0,113.63,358.05,0.99,186.06,362.0,1.0,39.6,410.3,0.97,174.91,427.44,0.98
