frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
23,1246.35,99.67,0.9,0.0,0.0,0.46,1229.01,81.87,0.88,0.0,0.0,0.38,1192.1,95.26,0.97,1116.8,164.4,0.99,1207.13,170.86,1.0,1042.7,290.18,0.95,1232.58,258.15,0.99,1100.26,348.78,0.87,1279.61,302.15,0.96,1133.15,390.84,1.0,1164.65,388.15,1.0,1224.83,569.67,1.0,1091.07,528.79,1.0,1264.68,681.61,0.98,914.4,586.74,0.98
24,1246.48,122.69,0.91,0.0,0.0,0.42,1232.1,106.63,0.92,0.0,0.0,0.29,1188.21,117.3,0.97,1136.91,190.58,0.99,1186.41,194.86,1.0,1064.41,313.34,0.88,1200.14,293.65,0.99,1127.05,373.27,0.77,1251.32,353.78,0.96,1143.81,426.36,1.0,1160.79,420.08,1.0,1200.72,596.5,0.99,1130.2,546.79,1.0,1199.1,690.19,0.97,1006.74,594.64,0.98
25,1244.08,124.48,0.86,0.0,0.0,0.33,1234.65,109.84,0.9,0.0,0.0,0.21,1196.26,118.45,0.95,1157.28,191.65,0.94,1174.66,198.99,0.99,1136.42,301.31,0.67,1160.59,300.56,0.99,1219.7,369.02,0.64,1220.22,378.5,0.96,1134.71,415.98,0.98,1144.3,419.21,0.99,1186.66,588.02,0.97,1191.62,589.35,0.99,1137.71,731.45,0.91,1117.69,736.89,0.95
26,1252.14,120.21,0.85,0.0,0.0,0.32,1240.53,103.29,0.86,0.0,0.0,0.12,1203.0,110.1,0.91,1188.53,205.33,0.94,1173.52,187.01,1.0,1190.17,324.48,0.78,1138.3,302.46,0.99,1260.89,335.15,0.77,1204.06,380.44,0.98,1152.56,424.39,0.99,1139.89,419.74,1.0,1192.71,565.77,0.98,1195.34,577.04,0.99,1062.85,696.89,0.94,1039.69,727.8,0.97
27,1254.86,114.92,0.93,1250.4,103.69,0.5,1238.53,100.02,0.92,0.0,0.0,0.19,1198.19,109.66,0.94,1193.37,209.89,0.98,1171.08,172.99,1.0,1185.35,308.01,0.9,1113.02,255.91,0.99,1271.77,301.37,0.87,1178.51,354.68,0.98,1150.59,408.82,1.0,1150.73,392.38,1.0,1139.57,544.56,0.99,1248.22,514.82,1.0,985.04,693.57,0.97,1130.24,656.89,0.98
28,1251.01,105.55,0.95,1250.06,93.22,0.55,1238.28,90.21,0.94,0.0,0.0,0.15,1198.77,99.38,0.93,1200.42,194.87,0.97,1159.42,163.94,1.0,1199.73,292.38,0.91,1091.04,249.6,1.0,1281.05,269.08,0.9,1157.34,332.79,0.99,1177.3,399.95,1.0,1138.23,391.22,1.0,1211.09,528.35,0.99,1121.2,538.63,1.0,1135.42,662.99,0.98,952.08,694.48,0.99
29,1256.52,91.78,0.91,0.0,0.0,0.36,1242.57,79.78,0.91,0.0,0.0,0.13,1203.29,86.52,0.95,1189.73,181.76,0.98,1166.86,148.18,1.0,1196.94,275.07,0.86,1075.15,221.63,1.0,1282.02,255.16,0.8,1142.14,312.59,0.99,1149.77,400.55,1.0,1164.16,393.07,1.0,1077.61,522.44,0.99,1286.82,533.56,1.0,914.15,643.01,0.97,1242.58,671.86,0.99
30,1259.29,99.41,0.9,0.0,0.0,0.35,1244.44,86.85,0.91,0.0,0.0,0.13,1203.64,94.17,0.95,1197.15,182.07,0.98,1168.66,156.12,1.0,1195.15,282.97,0.86,1084.45,241.93,1.0,1284.45,279.97,0.8,1159.98,322.76,0.99,1164.09,405.77,1.0,1163.84,397.45,1.0,1098.31,545.58,0.99,1234.46,540.02,1.0,960.14,637.2,0.97,1167.6,629.04,0.99
31,1259.48,111.57,0.86,0.0,0.0,0.25,1249.31,101.35,0.88,0.0,0.0,0.13,1210.3,106.01,0.95,1190.52,190.68,0.98,1172.39,180.42,1.0,1203.37,298.52,0.85,1101.14,279.0,1.0,1272.75,314.8,0.78,1177.44,338.11,0.99,1165.16,396.82,1.0,1180.78,404.62,1.0,1075.06,528.29,1.0,1285.58,582.84,1.0,930.66,581.27,0.99,1299.32,675.98,1.0
32,1257.29,127.49,0.87,0.0,0.0,0.33,1247.48,117.47,0.89,0.0,0.0,0.2,1211.74,126.57,0.94,1197.15,210.82,0.97,1178.42,209.59,1.0,1188.39,323.9,0.81,1114.27,307.99,1.0,1248.1,365.06,0.74,1209.69,362.93,0.98,1178.8,411.33,1.0,1187.5,423.17,1.0,1107.71,537.92,1.0,1252.29,603.42,1.0,980.34,593.05,0.99,1248.42,705.75,0.99
33,1257.14,148.56,0.85,0.0,0.0,0.34,1245.35,136.27,0.9,0.0,0.0,0.17,1209.88,145.34,0.93,1194.91,222.69,0.91,1186.72,231.39,1.0,1174.01,339.74,0.56,1141.44,341.05,0.99,1237.18,392.8,0.55,1230.44,396.6,0.97,1170.48,423.88,0.99,1169.6,437.54,1.0,1161.02,554.88,0.99,1234.51,614.73,1.0,1038.48,595.65,0.98,1165.15,697.58,0.99
34,1256.43,150.86,0.87,0.0,0.0,0.36,1245.9,134.9,0.92,0.0,0.0,0.24,1209.3,144.51,0.96,1167.88,222.16,0.95,1194.71,229.26,1.0,1137.45,345.8,0.63,1188.71,347.19,0.99,1229.71,356.14,0.58,1276.55,357.59,0.95,1143.89,436.42,0.98,1158.64,438.96,1.0,1190.1,591.3,0.97,1201.62,593.05,0.99,1105.1,726.58,0.93,1099.95,734.69,0.97
35,1254.98,138.36,0.87,0.0,0.0,0.35,1246.19,123.04,0.9,0.0,0.0,0.21,1205.82,133.1,0.93,1165.49,211.12,0.96,1197.04,218.97,1.0,1126.5,335.27,0.79,1200.5,330.26,0.99,1182.54,350.87,0.73,1297.23,317.55,0.97,1166.27,424.57,0.99,1166.76,435.89,1.0,1254.1,536.81,0.99,1178.13,593.48,1.0,1156.17,620.7,0.97,1021.78,722.97,0.99
36,1257.58,135.8,0.9,0.0,0.0,0.39,1249.12,120.27,0.93,0.0,0.0,0.19,1208.85,127.72,0.96,1151.14,195.86,0.96,1200.74,208.56,1.0,1090.22,308.54,0.82,1222.63,294.35,1.0,1113.22,357.09,0.79,1295.6,296.21,0.99,1169.13,402.12,1.0,1172.49,416.04,1.0,1260.96,513.28,0.99,1139.15,567.04,1.0,1208.64,626.54,0.98,974.42,718.9,0.99
37,1255.05,131.58,0.87,0.0,0.0,0.35,1247.88,116.74,0.87,0.0,0.0,0.24,1209.48,124.1,0.92,1152.16,186.05,0.98,1208.92,196.1,1.0,1082.2,297.07,0.92,1236.22,286.65,0.99,1108.47,349.62,0.85,1297.42,282.9,0.98,1183.1,399.37,1.0,1185.09,405.1,1.0,1279.21,526.98,0.99,1103.15,550.27,1.0,1264.03,652.83,0.96,920.47,690.4,0.98
38,1257.38,134.38,0.9,0.0,0.0,0.42,1246.5,117.18,0.89,0.0,0.0,0.3,1213.37,126.1,0.96,1134.51,191.81,0.99,1221.48,198.66,1.0,1075.03,295.18,0.94,1251.05,269.08,0.99,1122.75,347.32,0.87,1293.87,297.58,0.98,1172.87,401.34,1.0,1196.44,404.58,1.0,1276.09,549.53,0.99,1107.38,541.73,1.0,1310.86,655.36,0.97,931.61,627.19,0.98
39,1259.78,149.08,0.88,0.0,0.0,0.41,1246.58,131.32,0.86,0.0,0.0,0.35,1214.51,140.21,0.96,1136.42,207.49,0.99,1227.73,208.36,1.0,1072.55,317.47,0.93,1254.59,286.01,0.99,1134.25,366.15,0.84,1286.36,325.87,0.96,1168.03,409.02,1.0,1198.07,405.71,1.0,1259.16,572.51,0.99,1109.18,535.48,1.0,1306.07,672.71,0.98,951.23,593.6,0.98
40,1264.69,164.16,0.9,1248.75,141.29,0.52,1247.35,146.27,0.89,0.0,0.0,0.4,1214.16,154.31,0.96,1158.5,227.0,0.99,1225.54,223.7,1.0,1091.99,337.53,0.92,1251.46,310.73,0.99,1141.51,383.05,0.84,1270.47,369.96,0.95,1172.84,436.25,1.0,1196.12,427.92,1.0,1238.18,604.46,0.99,1140.46,543.49,0.99,1271.36,705.71,0.97,1017.56,586.3,0.98
41,1265.66,169.65,0.89,0.0,0.0,0.43,1254.58,155.33,0.93,0.0,0.0,0.3,1218.49,164.02,0.97,1168.38,230.4,0.97,1214.4,243.39,1.0,1121.52,347.84,0.71,1215.51,349.63,0.99,1181.03,385.42,0.61,1275.52,388.08,0.95,1167.66,434.7,0.99,1188.84,440.65,1.0,1227.59,580.55,0.98,1208.11,585.88,0.99,1192.21,659.66,0.96,1115.5,665.62,0.98
42,1268.78,168.89,0.83,0.0,0.0,0.35,1256.68,155.09,0.9,0.0,0.0,0.21,1222.86,164.66,0.94,1193.01,231.66,0.9,1213.4,242.28,0.99,0.0,0.0,0.48,1196.55,346.53,0.97,0.0,0.0,0.45,1242.67,421.19,0.92,1171.58,437.04,0.97,1182.34,442.69,0.99,1233.0,577.22,0.96,1237.62,589.2,0.99,1154.56,689.3,0.93,1137.05,712.79,0.97
43,1272.4,160.06,0.93,1264.08,145.67,0.55,1256.18,146.71,0.92,0.0,0.0,0.29,1220.15,158.49,0.94,1211.2,236.3,0.98,1213.9,228.16,1.0,1204.36,331.6,0.88,1176.58,325.76,0.98,1281.56,335.83,0.82,1214.25,410.96,0.96,1182.0,450.78,0.99,1191.43,442.77,1.0,1216.21,574.38,0.97,1281.12,541.82,0.99,1099.41,670.94,0.92,1155.23,614.01,0.94
44,1269.46,137.98,0.88,0.0,0.0,0.42,1256.0,124.84,0.86,0.0,0.0,0.23,1227.07,136.18,0.92,1218.19,221.28,0.98,1204.07,209.21,1.0,1220.33,301.37,0.89,1151.64,309.02,0.99,1290.15,300.81,0.83,1192.12,390.86,0.98,1187.25,425.5,1.0,1196.76,418.1,1.0,1160.11,541.66,0.99,1291.28,519.15,1.0,1006.79,667.59,0.96,1204.91,633.68,0.98
45,1275.29,129.95,0.91,0.0,0.0,0.41,1262.64,118.44,0.9,0.0,0.0,0.18,1230.86,124.22,0.94,1223.98,205.52,0.98,1199.78,187.35,1.0,1224.2,278.93,0.85,1129.2,267.77,1.0,1294.68,267.16,0.79,1177.61,354.94,0.99,1196.84,401.96,1.0,1207.68,396.96,1.0,1127.91,522.49,0.99,1312.85,518.54,1.0,990.3,647.01,0.96,1288.93,648.48,0.98
46,1283.41,122.05,0.87,0.0,0.0,0.32,1270.71,112.14,0.87,0.0,0.0,0.15,1236.92,120.86,0.93,1231.09,201.95,0.97,1205.03,189.55,1.0,1237.34,281.74,0.85,1132.93,275.29,1.0,1298.62,272.77,0.79,1185.79,352.2,0.99,1204.21,401.83,1.0,1214.91,404.01,1.0,1127.49,510.99,0.99,1333.2,537.82,1.0,978.65,608.42,0.97,1326.37,659.35,0.99
47,1292.48,128.23,0.8,0.0,0.0,0.21,1281.32,118.51,0.8,0.0,0.0,0.12,1246.84,126.64,0.92,1229.99,202.37,0.97,1216.87,198.06,1.0,1236.66,288.12,0.82,1141.89,287.31,1.0,1297.8,301.18,0.77,1201.33,358.06,0.99,1210.73,403.06,1.0,1226.52,410.89,1.0,1131.82,522.61,0.99,1334.24,568.04,1.0,982.37,581.23,0.98,1324.08,657.21,0.99
48,1290.92,138.81,0.76,0.0,0.0,0.22,1280.64,127.52,0.81,0.0,0.0,0.14,1248.74,132.86,0.92,1219.71,203.71,0.92,1231.3,207.56,1.0,1215.78,303.47,0.59,1187.91,306.61,0.99,1271.68,355.82,0.52,1241.64,375.4,0.96,1206.33,400.09,0.99,1229.02,410.23,1.0,1164.14,531.11,0.99,1319.57,575.3,1.0,1034.68,580.73,0.97,1291.12,653.64,0.99
49,1292.04,154.57,0.85,0.0,0.0,0.37,1280.74,143.34,0.91,0.0,0.0,0.19,1243.8,151.92,0.94,1224.69,224.89,0.92,1228.56,232.69,1.0,1214.5,335.7,0.54,1201.63,337.78,0.99,0.0,0.0,0.49,1271.14,396.28,0.95,1201.68,419.68,0.99,1211.56,430.67,1.0,1188.07,541.28,0.99,1273.49,590.64,1.0,1082.02,585.37,0.98,1229.62,670.59,0.99
50,1297.26,160.11,0.91,1297.54,145.72,0.51,1283.55,146.18,0.93,0.0,0.0,0.25,1250.05,158.33,0.95,1244.42,238.22,0.95,1230.84,242.47,1.0,1222.44,353.84,0.71,1234.37,355.05,0.99,1296.06,378.23,0.69,1310.63,377.51,0.97,1217.56,426.2,0.98,1206.72,428.76,1.0,1258.25,577.18,0.97,1254.01,574.37,0.99,1181.65,689.39,0.93,1161.93,687.43,0.97
51,1295.99,156.97,0.82,0.0,0.0,0.28,1290.9,142.21,0.88,0.0,0.0,0.17,1256.69,148.65,0.93,1212.32,218.19,0.92,1236.91,232.04,1.0,1178.89,327.72,0.66,1250.95,333.95,0.99,1223.43,362.32,0.65,1338.92,340.13,0.98,1210.58,407.58,0.99,1207.15,423.46,1.0,1305.55,514.07,0.99,1219.89,579.83,1.0,1220.28,591.45,0.98,1084.35,715.25,0.99
52,1297.38,148.45,0.82,0.0,0.0,0.27,1293.86,133.34,0.84,0.0,0.0,0.16,1259.53,140.59,0.89,1208.28,207.62,0.94,1232.17,222.81,1.0,1152.53,319.12,0.84,1248.42,322.7,1.0,1182.84,357.74,0.83,1337.93,308.6,0.99,1217.34,392.31,1.0,1209.91,406.76,1.0,1306.68,491.0,0.99,1189.04,543.66,1.0,1229.12,586.73,0.97,1030.94,682.19,0.99
53,1296.15,144.7,0.88,0.0,0.0,0.34,1289.88,130.45,0.9,0.0,0.0,0.19,1255.02,140.12,0.94,1205.33,199.58,0.97,1239.58,218.5,1.0,1145.06,306.13,0.88,1267.2,305.05,1.0,1174.4,354.91,0.83,1338.51,293.89,0.99,1228.75,393.2,1.0,1222.52,405.74,1.0,1321.33,502.06,0.99,1164.32,534.8,1.0,1299.95,615.37,0.98,1011.46,669.47,0.99
54,1296.6,149.81,0.9,0.0,0.0,0.35,1287.51,135.17,0.92,0.0,0.0,0.19,1255.79,146.01,0.96,1198.07,197.36,0.98,1247.03,219.06,1.0,1144.69,306.38,0.89,1261.98,304.1,1.0,1190.91,342.63,0.81,1329.96,293.24,0.99,1224.59,397.43,1.0,1228.28,407.02,1.0,1322.5,528.51,1.0,1156.45,535.07,1.0,1338.78,635.85,0.98,980.68,631.99,0.99
55,1300.74,160.78,0.84,0.0,0.0,0.4,1289.44,143.97,0.79,0.0,0.0,0.31,1258.26,153.01,0.91,1198.55,217.79,0.98,1256.58,225.47,0.99,1137.77,316.31,0.91,1265.08,308.52,0.98,1184.25,369.33,0.84,1310.23,348.39,0.94,1223.75,412.08,1.0,1233.28,413.98,1.0,1306.01,565.48,0.99,1163.66,547.45,0.99,1322.73,644.42,0.96,1004.49,596.34,0.97
56,1295.7,167.94,0.84,0.0,0.0,0.28,1288.87,156.93,0.9,0.0,0.0,0.19,1255.01,163.61,0.96,1208.6,223.56,0.96,1238.86,237.76,1.0,1195.5,335.88,0.71,1232.67,340.62,0.99,1246.68,371.99,0.63,1303.4,364.75,0.98,1209.52,408.61,1.0,1228.66,422.25,1.0,1237.28,542.11,1.0,1277.42,587.79,1.0,1166.61,583.33,0.99,1221.14,660.96,1.0
57,1303.72,186.84,0.83,0.0,0.0,0.39,1292.2,172.81,0.86,0.0,0.0,0.28,1261.37,181.02,0.94,1216.31,246.43,0.94,1254.63,248.08,0.99,1174.47,342.78,0.67,1243.38,328.22,0.97,1239.61,391.44,0.59,1278.25,401.19,0.92,1212.79,429.41,0.98,1232.02,429.46,0.99,1264.46,592.8,0.98,1246.39,578.95,0.99,1240.4,677.16,0.95,1154.26,652.24,0.97
58,1303.7,191.45,0.88,0.0,0.0,0.43,1291.73,177.25,0.91,0.0,0.0,0.2,1258.82,184.75,0.94,1242.92,259.72,0.94,1244.06,254.36,0.99,1231.3,362.82,0.67,1217.25,351.45,0.98,1299.39,401.02,0.62,1257.86,418.6,0.96,1218.86,449.66,0.98,1218.46,448.84,0.99,1266.44,579.85,0.96,1274.66,580.49,0.99,1178.94,694.72,0.91,1167.32,699.75,0.96
