frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
23,363.01,609.4,0.97,374.25,599.23,0.87,351.09,596.49,0.96,390.4,585.54,0.51,325.43,578.8,0.87,400.26,629.55,0.98,289.37,605.21,1.0,423.82,699.94,0.92,210.04,633.01,0.99,406.35,760.6,0.9,168.26,674.35,0.98,341.03,778.39,0.99,277.59,767.49,1.0,337.26,880.42,0.99,311.32,874.88,0.99,262.77,998.02,0.96,288.17,1006.32,0.98
24,354.44,604.18,0.97,366.51,593.92,0.88,342.39,591.39,0.95,384.94,580.89,0.56,318.44,575.09,0.85,395.21,624.87,0.99,284.37,608.37,1.0,410.69,702.71,0.94,217.43,666.61,0.99,394.47,785.51,0.91,194.98,747.75,0.98,337.28,771.59,1.0,273.21,762.87,1.0,324.03,890.27,0.99,296.6,883.96,0.99,250.5,1007.07,0.96,275.6,1011.11,0.98
25,341.34,594.96,0.97,354.99,585.27,0.9,330.18,581.16,0.94,376.7,575.36,0.63,310.3,566.12,0.8,394.13,628.45,0.99,278.3,612.72,1.0,407.33,724.61,0.95,230.22,700.04,0.98,395.16,810.35,0.93,222.15,792.53,0.97,343.29,780.6,0.99,274.86,770.56,1.0,318.88,908.31,0.99,279.73,894.08,0.99,253.04,1020.25,0.95,258.85,1013.33,0.97
26,338.28,597.73,0.97,348.74,587.14,0.85,326.89,585.91,0.95,363.47,578.26,0.5,303.03,574.85,0.85,380.65,624.92,0.99,273.33,627.54,1.0,411.91,702.28,0.94,239.99,719.38,0.99,411.5,771.48,0.91,251.94,800.95,0.97,350.68,788.25,1.0,283.2,789.56,1.0,331.82,906.09,0.99,273.19,920.17,0.99,274.74,1007.21,0.97,246.0,1037.76,0.98
27,339.7,589.61,0.98,350.0,578.65,0.9,326.67,579.14,0.96,363.37,574.36,0.53,299.11,575.02,0.87,380.47,621.1,0.99,269.84,638.8,1.0,422.97,669.5,0.93,247.32,730.54,0.99,425.41,713.09,0.91,288.19,785.73,0.97,351.17,790.07,1.0,280.71,798.23,1.0,336.12,909.31,0.99,268.95,936.44,0.99,276.05,994.19,0.96,234.14,1037.13,0.98
28,347.94,585.23,0.98,358.67,573.94,0.91,334.83,574.91,0.97,369.33,575.13,0.52,303.36,576.21,0.88,379.6,623.77,0.99,271.71,644.61,1.0,435.8,675.15,0.95,266.48,737.23,0.99,434.74,660.65,0.93,320.05,711.66,0.98,344.33,784.45,1.0,269.78,796.08,1.0,348.96,890.08,0.99,252.41,932.27,0.99,305.6,964.83,0.97,215.97,1029.5,0.98
29,356.52,581.79,0.98,367.7,569.65,0.91,343.73,571.11,0.97,379.75,567.86,0.56,317.08,570.3,0.86,388.61,614.0,0.99,285.36,631.37,1.0,429.36,665.87,0.96,280.9,717.87,0.99,435.21,636.63,0.93,342.89,669.79,0.98,345.23,773.55,1.0,271.22,782.07,1.0,348.42,876.51,0.99,238.91,905.93,0.99,321.75,984.36,0.97,203.53,1028.12,0.98
30,373.04,574.57,0.98,383.43,562.06,0.9,359.59,562.15,0.98,0.0,0.0,0.46,327.23,558.51,0.92,392.61,608.71,0.99,288.71,614.51,1.0,416.94,671.14,0.93,284.29,707.32,0.99,428.0,642.34,0.9,353.82,675.68,0.98,344.23,766.11,1.0,267.37,768.42,1.0,356.0,875.82,0.99,235.67,884.7,1.0,335.59,1009.08,0.97,202.02,1023.99,0.98
31,384.33,568.72,0.98,393.4,557.51,0.89,371.13,555.58,0.97,0.0,0.0,0.48,336.54,552.68,0.92,402.31,604.89,0.99,286.77,612.81,1.0,408.06,659.18,0.95,274.32,709.9,0.99,416.79,695.85,0.91,345.59,732.44,0.98,346.89,764.79,1.0,264.67,764.23,1.0,363.72,893.64,0.99,239.08,877.09,1.0,327.98,1023.61,0.97,202.53,992.67,0.98
32,393.33,569.3,0.98,403.03,558.87,0.89,379.72,554.2,0.97,0.0,0.0,0.5,344.46,549.03,0.91,410.74,615.63,0.99,288.87,605.08,1.0,394.02,684.71,0.94,257.57,703.66,0.99,397.05,754.9,0.9,296.81,787.72,0.97,335.56,766.17,0.99,253.3,753.24,1.0,355.03,913.15,0.99,250.75,857.27,0.99,317.95,1042.14,0.96,222.89,955.96,0.97
33,397.04,573.33,0.98,411.08,563.1,0.91,384.01,556.69,0.97,423.93,562.19,0.55,350.84,548.64,0.91,417.87,627.51,0.99,297.15,604.4,1.0,389.52,725.17,0.92,241.24,703.91,0.99,386.02,818.54,0.89,227.69,805.35,0.98,339.14,774.83,0.99,260.67,756.81,1.0,339.42,927.71,0.98,255.56,869.15,0.99,306.46,1066.43,0.93,244.86,985.93,0.96
34,399.33,572.42,0.98,414.12,562.58,0.89,387.06,556.96,0.97,423.43,564.49,0.53,353.46,552.18,0.92,408.48,635.92,0.99,299.05,611.91,1.0,390.75,732.25,0.93,222.55,684.01,0.99,388.43,809.81,0.9,170.16,755.52,0.98,324.07,798.18,0.99,257.71,784.84,1.0,326.97,953.67,0.98,283.12,926.39,0.99,285.07,1063.72,0.94,271.32,1038.49,0.96
35,394.85,572.95,0.98,408.37,562.16,0.9,379.96,558.83,0.97,422.19,565.38,0.53,348.0,557.74,0.93,408.26,642.01,0.99,305.8,608.02,1.0,404.47,720.98,0.93,206.28,643.15,0.99,403.86,757.04,0.89,141.93,699.19,0.98,317.44,803.85,1.0,257.46,788.27,1.0,324.47,960.46,0.99,298.98,945.2,1.0,257.55,1049.95,0.95,256.84,1046.68,0.97
36,385.94,567.17,0.98,395.41,557.66,0.87,371.76,553.38,0.97,0.0,0.0,0.43,337.13,551.96,0.93,406.79,645.24,0.99,289.91,594.97,1.0,415.29,726.91,0.91,186.94,605.38,0.99,395.03,741.97,0.88,129.19,647.53,0.99,324.72,811.56,1.0,257.68,787.17,1.0,314.97,958.15,0.99,290.01,926.19,1.0,245.14,1053.26,0.96,251.09,1028.07,0.98
37,372.47,561.11,0.98,383.14,551.02,0.88,356.87,546.48,0.97,0.0,0.0,0.48,325.6,543.76,0.93,399.94,638.44,0.99,284.85,583.85,1.0,410.55,721.57,0.92,182.09,597.2,0.99,403.64,693.06,0.9,129.82,625.66,0.98,317.32,804.7,1.0,254.05,778.96,1.0,313.23,935.31,0.99,309.9,899.87,1.0,234.33,1038.06,0.97,272.18,1011.06,0.98
38,364.33,555.42,0.98,375.05,545.81,0.9,349.1,540.89,0.97,388.4,548.49,0.53,318.04,537.47,0.92,394.82,630.96,0.99,279.92,578.27,1.0,409.95,714.68,0.94,183.06,607.34,0.99,404.91,679.19,0.91,138.63,659.12,0.98,321.52,793.68,1.0,259.5,767.85,1.0,300.98,916.51,0.99,304.79,878.12,1.0,228.82,1039.5,0.98,279.63,1007.73,0.99
39,351.35,552.18,0.98,367.3,543.03,0.87,340.05,538.87,0.96,0.0,0.0,0.47,310.32,531.24,0.89,379.99,598.26,0.98,265.96,592.68,1.0,410.93,658.17,0.91,198.52,658.39,0.99,392.8,714.04,0.9,161.35,727.64,0.99,326.17,769.51,1.0,264.36,768.4,1.0,291.25,892.21,0.99,303.52,914.43,1.0,207.29,992.19,0.98,307.06,1049.9,0.99
40,345.75,552.84,0.98,360.55,541.97,0.92,332.17,538.37,0.97,377.53,541.44,0.59,299.97,531.36,0.88,383.89,612.03,0.99,258.29,594.14,1.0,402.76,709.49,0.94,203.94,678.65,0.99,393.3,797.38,0.92,196.38,784.78,0.97,338.45,786.76,0.99,264.69,779.58,1.0,314.34,935.24,0.98,287.36,925.88,0.99,280.2,1074.81,0.93,303.74,1070.06,0.95
41,354.75,587.09,0.98,367.81,577.22,0.91,343.08,574.89,0.97,382.29,579.12,0.6,315.84,571.82,0.88,392.7,646.3,0.99,279.22,637.88,1.0,416.31,738.87,0.94,243.37,728.47,0.99,410.02,819.33,0.92,262.07,815.36,0.97,358.62,814.35,0.99,289.96,811.59,1.0,335.31,949.62,0.99,297.13,949.8,0.99,307.6,1074.92,0.95,309.42,1081.72,0.97
42,361.86,609.48,0.98,373.69,599.34,0.92,349.5,599.48,0.97,387.03,602.5,0.63,323.92,601.77,0.9,399.61,664.42,0.99,294.39,668.77,1.0,431.57,750.44,0.94,271.09,758.18,0.99,422.26,822.3,0.91,311.77,810.86,0.98,370.02,820.26,1.0,304.03,824.03,1.0,356.12,949.89,0.99,312.14,968.85,0.99,315.96,1052.22,0.96,307.46,1084.97,0.97
43,375.21,625.91,0.98,384.04,614.17,0.91,361.6,614.92,0.97,0.0,0.0,0.48,334.97,619.39,0.91,405.72,675.24,0.99,302.74,682.45,1.0,437.63,743.03,0.95,295.65,761.45,0.99,438.98,768.22,0.93,347.44,772.55,0.97,383.01,835.86,1.0,315.93,841.3,1.0,378.02,954.78,0.98,330.0,961.76,0.99,328.83,1055.38,0.92,304.82,1066.63,0.95
44,390.71,635.78,0.97,397.53,624.38,0.87,377.58,625.62,0.97,0.0,0.0,0.37,349.91,630.74,0.92,414.63,683.71,0.99,319.85,688.94,1.0,441.43,746.88,0.92,315.7,755.38,0.99,437.58,746.9,0.9,366.4,726.09,0.97,395.93,834.28,0.99,330.61,838.74,1.0,400.79,934.23,0.98,323.92,940.31,0.99,371.73,1018.86,0.93,293.44,1029.54,0.96
45,405.93,640.1,0.97,411.41,629.92,0.84,394.42,630.36,0.98,0.0,0.0,0.25,367.95,634.13,0.95,418.55,689.07,0.99,338.47,687.8,1.0,431.79,758.59,0.89,326.51,760.13,1.0,440.74,734.27,0.87,384.99,723.02,0.99,397.96,832.96,0.99,339.58,833.71,1.0,405.25,930.03,0.98,310.15,931.98,0.99,394.81,1022.32,0.95,270.25,1028.05,0.98
