frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
26,1831.83,203.26,0.99,1879.81,160.76,0.97,1793.6,163.02,0.92,1974.84,154.66,0.92,1753.93,163.89,0.5,2136.85,372.3,1.0,1727.96,375.02,0.99,2310.21,693.94,0.99,1650.06,679.86,0.97,2088.17,792.56,0.99,1615.59,966.23,0.96,2146.8,950.81,1.0,1876.72,942.72,1.0,2158.39,1401.86,1.0,1837.15,1400.33,1.0,2212.6,1801.27,0.98,1900.95,1827.37,0.97
27,1822.13,214.66,0.99,1869.47,169.99,0.97,1782.7,174.59,0.92,1968.1,159.55,0.93,0.0,0.0,0.5,2133.34,379.67,1.0,1727.38,379.03,0.99,2289.89,713.53,0.99,1650.33,670.33,0.97,2029.13,788.75,0.99,1611.9,915.82,0.96,2138.21,962.26,1.0,1866.77,952.73,1.0,2165.18,1416.36,1.0,1834.83,1418.7,1.0,2217.92,1816.37,0.98,1883.23,1851.61,0.98
28,1821.24,228.24,0.98,1863.55,180.18,0.96,1781.6,191.98,0.91,1959.15,176.08,0.87,0.0,0.0,0.48,2122.39,399.64,1.0,1738.82,396.45,0.98,2245.13,723.56,0.99,1641.07,680.49,0.94,1998.58,766.47,0.97,1624.66,896.47,0.93,2139.31,982.01,1.0,1871.85,978.29,1.0,2154.43,1406.7,0.99,1822.53,1431.29,0.99,2239.5,1798.86,0.96,1854.67,1855.53,0.96
29,1818.74,249.86,0.98,1858.56,196.66,0.97,1771.61,211.31,0.93,1952.1,190.33,0.87,1733.57,221.42,0.57,2107.53,425.83,1.0,1736.8,412.14,0.99,2212.25,753.47,0.99,1649.11,685.97,0.96,1933.98,689.32,0.98,1621.68,859.83,0.95,2133.54,1006.96,1.0,1867.59,999.24,1.0,2173.87,1424.2,1.0,1836.99,1447.6,0.99,2257.71,1821.44,0.97,1838.28,1883.48,0.97
30,1811.0,268.97,0.98,1852.1,215.9,0.97,1765.14,230.46,0.93,1946.96,211.85,0.87,1729.8,241.05,0.55,2096.14,448.44,1.0,1730.15,429.21,0.99,2195.34,779.36,0.99,1632.75,689.9,0.95,1925.76,699.65,0.98,1615.63,829.97,0.94,2126.95,1029.02,1.0,1860.95,1023.6,1.0,2180.27,1442.35,1.0,1828.57,1481.19,0.99,2277.19,1832.52,0.97,1825.77,1919.03,0.96
31,1804.88,294.79,0.98,1845.29,242.34,0.97,1759.88,255.37,0.91,1938.94,239.72,0.87,0.0,0.0,0.49,2083.83,474.98,1.0,1720.04,449.92,0.98,2156.74,809.37,0.99,1619.11,708.89,0.93,1900.36,700.6,0.98,1622.86,788.1,0.92,2123.67,1058.23,1.0,1855.06,1052.43,1.0,2192.7,1479.92,1.0,1823.78,1510.26,0.99,2301.67,1859.35,0.97,1820.57,1925.13,0.95
32,1793.8,330.73,0.98,1836.68,276.24,0.97,1751.87,289.14,0.9,1933.21,268.92,0.88,0.0,0.0,0.48,2083.24,490.16,1.0,1717.0,496.38,0.99,2132.72,851.67,0.99,1644.83,794.34,0.94,1867.28,677.37,0.98,1640.26,615.59,0.92,2126.78,1076.09,1.0,1851.78,1081.6,1.0,2201.45,1484.32,0.99,1805.89,1515.62,0.99,2303.65,1874.96,0.96,1826.94,1926.5,0.94
33,1785.62,359.21,0.98,1828.77,305.38,0.97,1743.99,317.45,0.9,1927.81,304.35,0.89,0.0,0.0,0.49,2075.5,532.62,1.0,1718.21,528.83,0.99,2111.0,893.53,0.99,1658.58,828.48,0.95,1853.91,705.9,0.98,1647.36,668.18,0.93,2117.74,1106.67,1.0,1844.95,1104.73,1.0,2199.23,1521.52,0.99,1795.43,1527.04,0.99,2322.76,1908.38,0.95,1821.76,1924.27,0.93
34,1784.38,391.28,0.98,1829.34,342.16,0.97,1744.74,349.0,0.9,1924.34,351.96,0.9,0.0,0.0,0.49,2063.62,576.89,1.0,1710.7,564.44,0.99,2102.16,914.48,0.99,1671.4,843.14,0.94,1857.02,755.12,0.98,1673.9,703.04,0.92,2114.11,1132.71,1.0,1843.12,1126.93,1.0,2196.85,1543.78,0.99,1784.06,1538.26,0.99,2319.53,1921.37,0.94,1817.93,1922.7,0.92
35,1777.86,418.47,0.98,1825.13,370.07,0.97,1739.46,375.75,0.9,1925.44,384.87,0.9,0.0,0.0,0.47,2057.35,612.75,1.0,1717.63,590.89,0.99,2080.55,951.04,0.99,1687.83,865.91,0.94,1844.6,773.68,0.98,1674.66,726.73,0.92,2105.24,1153.2,1.0,1840.14,1142.37,1.0,2190.4,1569.1,0.99,1777.98,1552.37,0.99,2333.79,1936.34,0.93,1818.98,1927.05,0.9
